ID,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,FIRST_DEP_TIME,TOTAL_ADD_GTIME,LONGEST_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_ARR_DELAY,DIV_DISTANCE,DIV1_AIRPORT,DIV1_AIRPORT_ID,DIV1_AIRPORT_SEQ_ID,DIV1_WHEELS_ON,DIV1_TOTAL_GTIME,DIV1_LONGEST_GTIME,DIV1_WHEELS_OFF,DIV1_TAIL_NUM,DIV2_AIRPORT,DIV2_AIRPORT_ID,DIV2_AIRPORT_SEQ_ID,DIV2_WHEELS_ON,DIV2_TOTAL_GTIME,DIV2_LONGEST_GTIME,DIV2_WHEELS_OFF,DIV2_TAIL_NUM,DIV3_AIRPORT,DIV3_AIRPORT_ID,DIV3_AIRPORT_SEQ_ID,DIV3_WHEELS_ON,DIV3_TOTAL_GTIME,DIV3_LONGEST_GTIME,DIV3_WHEELS_OFF,DIV3_TAIL_NUM,DIV4_AIRPORT,DIV4_AIRPORT_ID,DIV4_AIRPORT_SEQ_ID,DIV4_WHEELS_ON,DIV4_TOTAL_GTIME,DIV4_LONGEST_GTIME,DIV4_WHEELS_OFF,DIV4_TAIL_NUM,DIV5_AIRPORT,DIV5_AIRPORT_ID,DIV5_AIRPORT_SEQ_ID,DIV5_WHEELS_ON,DIV5_TOTAL_GTIME,DIV5_LONGEST_GTIME,DIV5_WHEELS_OFF,DIV5_TAIL_NUM,Unnamed: 109
11,2018,1,1,25,4,UA,19977,UA,N19136,319,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,910,902,-8,0,0,-1,0900-0959,19,921,1238,6,1255,1244,-11,0,0,-1,1200-1259,0,,0,405,402,377,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2018,1,1,25,4,UA,19977,UA,N57111,207,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,755,751,-4,0,0,-1,0700-0759,19,810,1129,5,1144,1134,-10,0,0,-1,1100-1159,0,,0,409,403,379,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2018,1,1,24,3,UA,19977,UA,N568UA,2400,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1800,1927,87,87,1,5,1800-1859,31,1958,2310,5,2151,2315,84,84,1,5,2100-2159,0,,0,411,408,372,1,2704,11,0,0,84,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2018,1,1,24,3,UA,19977,UA,N546UA,477,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1205,1156,-9,0,0,-1,1200-1259,18,1214,1514,10,1534,1524,-10,0,0,-1,1500-1559,0,,0,389,388,360,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2018,1,1,24,3,UA,19977,UA,N587UA,433,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,600,601,1,1,0,0,0600-0659,29,630,935,4,940,939,-1,0,0,-1,0900-0959,0,,0,400,398,365,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2018,1,1,24,3,UA,19977,UA,N21108,319,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,910,905,-5,0,0,-1,0900-0959,17,922,1224,15,1255,1239,-16,0,0,-2,1200-1259,0,,0,405,394,362,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2018,1,1,24,3,UA,19977,UA,N17128,207,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,755,754,-1,0,0,-1,0700-0759,19,813,1123,5,1144,1128,-16,0,0,-2,1100-1159,0,,0,409,394,370,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2018,1,1,23,2,UA,19977,UA,N596UA,2400,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1800,1818,18,18,1,1,1800-1859,23,1841,2140,5,2151,2145,-6,0,0,-1,2100-2159,0,,0,411,387,359,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2018,1,1,23,2,UA,19977,UA,N587UA,477,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,1205,1235,30,30,1,2,1200-1259,20,1255,1543,3,1534,1546,12,12,0,0,1500-1559,0,,0,389,371,348,1,2704,11,,,,,,1204,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2018,1,1,23,2,UA,19977,UA,N590UA,433,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,14771,1477104,32457,SFO,"San Francisco, CA",CA,6,California,91,600,553,-7,0,0,-1,0600-0659,14,607,902,5,940,907,-33,0,0,-2,0900-0959,0,,0,400,374,355,1,2704,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
